package_name,review,polarity
com.facebook.katana, privacy at least put some option appear offline. i mean for some people like me it's a big pressure to be seen online like you need to response on every message or else you be called seenzone only. if only i wanna do on facebook is to read on my newsfeed and just wanna response on message i want to. pls reconsidered my review. i tried to turn off chat but still can see me as online.,0
com.facebook.katana," messenger issues ever since the last update, initial received messages don't get pushed to the messenger app and you don't get notification in the facebook app or messenger app. you open the facebook app and happen to see you have a message. you have to click the icon and it opens messenger. subsequent messages go through messenger app, unless you close the chat head... then you start over with no notification and having to go through the facebook app.",0
com.facebook.katana, profile any time my wife or anybody has more than one post and i view them it would take me to there profile so that i can view them all at once. now when i try to view them it tells me that the page that i requested is not available. i've restarted my phone i even cleard the cache and i've uninstalled and reinstalled the app and it is still doing it. please fix it thank you,0
com.facebook.katana, the new features suck for those of us who don't have a working back button can you guys make the videos able to be slid to the left to exit the video. as i have to force close facebook to exit,0
com.facebook.katana," forced reload on uploading pic on replying comment last night i tried to reply a comment by uploading a photo from my phone. when i press on the button to select photos the app automatically goes back to the main page. on other occasions, i could enter to my gallery to select my image but as soon as i selected an image and press done, the program, again, forced reload and suddenly go back to the main page. please fix this and i will change my rating. thank you.",0
com.facebook.katana," idk i can't edit my posts? things such as my profile picture, when i edit it, it becomes grey and says that it is no longer available. please fix. i have an htc desire. will rate 5 stars shown fixed đ",0
com.facebook.katana, major flaws constant updates and always getting not installed messages.  i can use it for awhile and then it's no longer installed.  none of my other apps do this!,0
com.facebook.katana, video issues since i was forced into this update the videos play with a black box in the middle of them. i edited a photo and its grayed out and stays at the top of my news feeds and my timeline it won't even let me delete it. if i could give a zero star i would. just like ever update something is always not working. if its not broke why fix it?,0
com.facebook.katana,"  this update completely destroyed my facebook. it loads to the status screen but once i try click anything at all or scroll the app goes to my home screen. it doesn't even say force close, it just does it so i load it again and finally begin scrolling but not even 5 scrolls later the app closes.... this never happened before i updated fb!!",0
com.facebook.katana," posting issues for the last week, there's been a ghost post at the top of all my feeds from when i uploaded a photo. closing the app fully has not fixed it, and it doesn't happen on any other platform. trying an uninstall to fix it.",0
com.facebook.katana," what the heck?! can't get status updates to be in chronological order...half of my comments don't post...it worked fine before the last update...keeps kicking me out of the app for no reason.  won't let me tag people without their name being all jumbled. if i edit a post, it shows the unedited version at the top of my feed. i'm 2 seconds away from uninstalling.",0
com.facebook.katana, its suck. any time when i want to see something error will come could not open check your internet satting. else i am using all other applications and other things on net hance i am using 4g network. realy very suck.,0
com.facebook.katana," connection issues everytime i try and click on a link or profile i keep getting can not refresh. it does this whether its on wifi , lte, 4g so i'm finding myself having to continuously close app from multitasking and re load it periodically.",0
com.facebook.katana," external links are not working after updated to latest version.. could not able to open any links on facebook .. it's says connect to network after some time , plz check your network connection .. same time my connection is 4g network is at full speed .. plz fix this issue asap ..thanks",0
com.facebook.katana," fix this please... i've tried editing two of my profile pictures in the past month and each time i do.. it doesn't post it, but it also doesn't go away. it fades out the picture and it's always at the top of my time line. now i have one from december 14th, and the second one from tonight at the top of my time line and it won't let me delete them, or do anything about it. and it's really buggin' me. please fix this.",0
com.facebook.katana," buggy when i edit a post through the mobile app, that post freezes and even restarting the phone doesn't resolve / unfreeze. this doesn't happen via the desktop app on my pc, not did it happen with previous android app version.",0
com.facebook.katana," connection issues app always says can't refresh now, try later which in particular has to do with the net. but my wifi works well enough. i can even play online games. i can refresh my feed at ig and twitter so why can't i refresh my fb feed? fix it please.",0
com.facebook.katana," i can't get back on facebook it's my email thats wrong or my password. no matter what i do it just sucks because, i really want to talk to my grandchildren. that's the only way i can see or hear from them most of the time.",0
com.facebook.katana," can't connect right now when trying to open links in the facebook browser, i receive a can't connect right now error message. other items on my news feed continue to load.",0
com.facebook.katana," error i cannot edit my post with pictures. the moment i do, it will not change after save and it appears like when ur uploading but not yet done post in news feed and still there until i did reinstall the app. this still happens even.",0
com.facebook.katana,  whenever i post an update and then try to edit it when i hit save it tells me the post is no longer available and may have been removed yet the original post is still on my page...please fix issue,0
com.facebook.katana," keeps updating updates all the time, slows my phone as it's doing it to a crawl. installs for like 3 minutes. and the updates never produce anything different or anything of use. the only app on my phone that i have issues with.",0
com.facebook.katana," won't load everytime i try to use facebook, well lately. it says trouble loading in every aspect. it's been doing this for 2 days i've tried restarting my phone. closing the app. it doesn't work",0
com.facebook.katana,  i wish posts popped up in the order they were posted and not get bumped up to the top every time someone comments on it. i end up seeing the same ones over and over even though they are old and missing newer ones.,0
com.facebook.katana," buggy. reinstall several times. issues editing uploaded photo from news feed post. only editable via image caption. then image is greyed out on news feed like it's pending photo upload & won't go away. also can't upload photo from phone gallery (share) to albums. have to open fb & upload photo, select from gallery to add to album.",0
com.facebook.katana," can't install (error code: -505) have samsung galaxy note edge, had issues and couldn't update so i uninstalled the app and now i can't reinstall it. total bs!",0
com.facebook.katana, not supported my phon galaxy core i have been use face book last one year. resantly i have a problam. so i will create a new account.  now that  is in a same problam. any time asking a conformation code. what s going on? plz answer me. plz help me. now what i do....?????? sent the anwer my email,0
com.facebook.katana, doesn't work 90% of the time. doesn't update my news feed says cannot connect to internet. the internet on my phone works just fine. i can uninstall and reinstall and it fixes the issue for a few hours then it starts saying cannot connect to internet.,0
com.facebook.katana," you should fix this it does'nt work anymore. i don't know what to do, because everytime i open this app, it automatically closes and a pop up message says: unfortunately, facebook has stopped.",0
com.facebook.katana, doesn't let me click into anything always tells me to check my connection while there is literally nothing wrong with my connection. i can scroll through my timeline i just can't click into anything since i updated. missing my old version smh,0
com.facebook.katana, doesn't work every time i try to sign up it says couldn't processes registration. it did the same thing on my android tablet and my doogee x5 cell phone. please fix and i will rate 5 stars,0
com.facebook.katana, showing old news why is it showing that someone responded to my comment a week ago? i'm not getting any crashing but its showing stuff from a week ago on top of my news feed.,0
com.facebook.katana,"  i have had to uninstall this app twice this week because whenever i try to edit a post, the post doesn't edit and just stays gray and stuck in the loading process forever. my o.c.d. can't handle that :-(",0
com.facebook.katana," profile issues samsung galaxy s4 active: so every time i post a pic on fb it says not available and i can't even edit it! it shows some gray part on top. plzz fix it. i would of rated a 5, but since this happened. i rated 2...",0
com.facebook.katana, camera roll please can you stop the camera roll popping up at top of page!!! whenever it does i can't use the app or my phone for a few mins !! doing my nut in,0
com.facebook.katana, not good its previous version (12.0.0.15.14) is much good than that. i can't text directly with current version. please add the inbuilt messenger again in the app.,0
com.facebook.katana, update uninstalls! everytime i try to update it uninstalls the app! what i want to know is if this is using my data each time i update and then have to reinstall?! driving me crazy. please fix.,0
com.facebook.katana," used to be good everything was great, until i updated this most recent version. now, i'm on facebook on my cell, it kicks me off! repeatedly! i try and like something, it takes several times tapping the screen before it even lets me... if i don't get kicked off!! please fix this!!",0
com.facebook.katana,"  i can't send or read a message from facebook because the message icon has gone, it replaced by a messenger icon on top, so everytime i received a message i have to go to browser to see it, because i dont have a messenger app. and sometimes i cant even read a message at all because i dont always have a wifi connection.  i really hate it since i've been using mobile data sometimes. hope yu can fix it soonest.",0
com.facebook.katana, app doesn't work after latest upgrade the facebook app refuses to work on my mobile data (3g) after the latest upgrade! it says it cannot connect right now.,0
com.twitter.android, ⭐⭐⭐ when will this app be created to automatically start at the top with new posts instead of having to scroll through days of old tweets to get to the top! the only social app that does that! such a headache!,0
com.twitter.android," error i can't log in, its says error occured while logging in please try again later. i tried it several times, restarted my wifi and phone. still can't log in. please fix it :(",0
com.twitter.android," video issues sometimes videos uploaded from places like vine won't load and will play but the screen will show grey. fix please, i don't know if others have this issue, but i am on my samsung s6 and it is doing this.",0
com.twitter.android,"  i enjoy twitter but i'm extremely annoyed that i can't swipe left or right through an accounts twitter pictures as easily as before, now just tapping the picture takes me to the whole tweet. i have to be super cautious to not accidently tap the picture while i'm swiping. it's incredibly annoying. please go back to how it was before, if i were to want see the whole tweet just touch the caption.",0
com.twitter.android," having a headache because of this enough with the limits on this app, okay? i was trying to get rid of some tweets on my account and it's telling me 'cannot retweet status' or when i try and tweet something: 'failed to send tweet'. like, seriously?",0
com.twitter.android, fix it dammit! why is my push notifications not appearing! i have 125 people enabled but i only get a tweet for every 5 minutes instead of all of them at the same time. i reinstalled the app countless times but they don't appear ar all. ive already missed 20 tweets in other 1 minute and i shouldve got notified for them all but i only got 1 for 1 tweet. fix this update im not liking it!,0
com.twitter.android," we have a problem. so i've noticed that twitter will let me like nonspecific things until i'm blue in the face, but liking certain specific things get me booted from the app and i have to log back in. let me repeat that. like certain specific things gets me logged out and i have to log back in. what's going on, twitter support?",0
com.twitter.android," came here to rate this app to give 5 stars for good optimization for android this is one of the only apps that i open and close and it actually clears fully from ram and does not use up cpu power, unlike facebook and its messenger using up ram and cpu.",0
com.twitter.android,"  i don't get notifications from people anymore. also, the number of notifications i got doesn't go away after i have checked it, it kind of just... stays there.",0
com.twitter.android," the new update sucks i hate that they switched favorite to like , i love twitter so much but it's turning into facebook real fast, i previously rated it 5 stars but right now i'm rating it 1 star due to te next update, i'll rate it 5 again once the change is made, until then, if you want a second facebook experience feel free to download.",0
com.twitter.android," the new updates are cool but ... whenever i try to favourite a tweet now, it closes the app saying unfortunately, twitter has stopped. maybe it's just my android idk",0
com.twitter.android," sony xperia z1 very good as always, but since last update i can't seem to be able to change the ringtone. reverts back to default",0
com.twitter.android," the app made me i'm rating it because of a pop up on the app,but i like twitter so i'm going to give it 5 stars. the only thing i don't like is the fact that i can't edit posts,f-ing instagram can but twitter doesn't have option wtf",0
com.twitter.android, bug in changing notification sound i gave 1 so developers may look at it now. this bug is here since long time as i checked in internet. please take a look at it and send a reply or update. (handset : note 5). hope to see the update and change my rating to 5 again.,0
com.twitter.android,"  twitter is great to connect with my classmates, as i'm on exchange at the moment. however, i cannot view who's liked my posts. it will say there's 9 likes, but will only show me 3. also, the notifications aren't very good, sometimes it won't tell me if someone has followed me or if they've liked/retweeted one of my posts.",0
com.twitter.android, you don't say what the updates are please take 1 minute and tell us what and why we are updating and not leave the same old message there!,0
com.twitter.android," good but not the better i can't see the videos sometimes, the notifications are bad and always the app isn't responding. this actually is the worst update. please check it",0
